,url,score
0,00000000000001,0
1,00000000000010,1
2,00000000000011,0
3,00000000000100,0
4,00000000000101,1
5,00000000000110,0
6,00000000000111,0
7,00000000001000,0
8,00000000001001,0
9,00000000001010,0
10,00000000001011,1
11,00000000001100,0
12,00000000001101,1
13,00000000001110,1
14,00000000001111,0
15,00000000010000,1
16,00000000010001,1
17,00000000010010,0
18,00000000010011,1
19,00000000010100,0
20,00000000010101,0
21,00000000010110,1
22,00000000010111,0
23,00000000011000,1
24,00000000011001,0
25,00000000011010,0
26,00000000011011,1
27,00000000011100,0
28,00000000011101,0
29,00000000011110,0
30,00000000011111,0
31,00000000100000,1
32,00000000100001,0
33,00000000100010,0
34,00000000100011,0
35,00000000100100,1
36,00000000100101,0
37,00000000100110,0
38,00000000100111,1
39,00000000101000,0
40,00000000101001,1
41,00000000101010,1
42,00000000101011,0
43,00000000101100,0
44,00000000101101,0
45,00000000101110,1
46,00000000101111,0
47,00000000110000,1
48,00000000110001,0
49,00000000110010,1
50,00000000110011,1
51,00000000110100,0
52,00000000110101,0
53,00000000110110,1
54,00000000110111,0
55,00000000111000,0
56,00000000111001,1
57,00000000111010,1
58,00000000111011,1
59,00000000111100,1
60,00000000111101,0
61,00000000111110,1
62,00000000111111,1
63,00000001000000,1
64,00000001000001,0
65,00000001000010,0
66,00000001000011,0
67,00000001000100,0
68,00000001000101,0
69,00000001000110,1
70,00000001000111,1
71,00000001001000,1
72,00000001001001,1
73,00000001001010,1
74,00000001001011,1
75,00000001001100,0
76,00000001001101,0
77,00000001001110,1
78,00000001001111,1
79,00000001010000,0
80,00000001010001,1
81,00000001010010,0
82,00000001010011,1
83,00000001010100,0
84,00000001010101,0
85,00000001010110,0
86,00000001010111,0
87,00000001011000,1
88,00000001011001,1
89,00000001011010,0
90,00000001011011,1
91,00000001011100,1
92,00000001011101,0
93,00000001011110,0
94,00000001011111,0
95,00000001100000,0
96,00000001100001,1
97,00000001100010,0
98,00000001100011,1
99,00000001100100,1
100,00000001100101,0
101,00000001100110,0
102,00000001100111,0
103,00000001101000,1
104,00000001101001,1
105,00000001101010,1
106,00000001101011,0
107,00000001101100,0
108,00000001101101,0
109,00000001101110,1
110,00000001101111,0
111,00000001110000,1
112,00000001110001,0
113,00000001110010,1
114,00000001110011,0
115,00000001110100,1
116,00000001110101,1
117,00000001110110,0
118,00000001110111,0
119,00000001111000,0
120,00000001111001,0
121,00000001111010,1
122,00000001111011,0
123,00000001111100,1
124,00000001111101,0
125,00000001111110,1
126,00000001111111,0
127,00000010000000,1
128,00000010000001,0
129,00000010000010,0
130,00000010000011,1
131,00000010000100,0
132,00000010000101,1
133,00000010000110,0
134,00000010000111,1
135,00000010001000,0
136,00000010001001,0
137,00000010001010,0
138,00000010001011,0
139,00000010001100,0
140,00000010001101,0
141,00000010001110,0
142,00000010001111,0
143,00000010010000,1
144,00000010010001,1
145,00000010010010,1
146,00000010010011,1
147,00000010010100,1
148,00000010010101,1
149,00000010010110,1
150,00000010010111,0
151,00000010011000,1
152,00000010011001,0
153,00000010011010,1
154,00000010011011,1
155,00000010011100,0
156,00000010011101,1
157,00000010011110,0
158,00000010011111,1
159,00000010100000,1
160,00000010100001,1
161,00000010100010,1
162,00000010100011,1
163,00000010100100,1
164,00000010100101,0
165,00000010100110,0
166,00000010100111,1
167,00000010101000,1
168,00000010101001,0
169,00000010101010,0
170,00000010101011,1
171,00000010101100,1
172,00000010101101,0
173,00000010101110,0
174,00000010101111,0
175,00000010110000,1
176,00000010110001,0
177,00000010110010,0
178,00000010110011,0
179,00000010110100,1
180,00000010110101,1
181,00000010110110,0
182,00000010110111,0
183,00000010111000,0
184,00000010111001,1
185,00000010111010,1
186,00000010111011,1
187,00000010111100,0
188,00000010111101,0
189,00000010111110,0
190,00000010111111,1
191,00000011000000,0
192,00000011000001,0
193,00000011000010,1
194,00000011000011,1
195,00000011000100,0
196,00000011000101,0
197,00000011000110,0
198,00000011000111,0
199,00000011001000,0
200,00000011001001,1
201,00000011001010,0
202,00000011001011,1
203,00000011001100,1
204,00000011001101,1
205,00000011001110,1
206,00000011001111,0
207,00000011010000,0
208,00000011010001,0
209,00000011010010,0
210,00000011010011,1
211,00000011010100,1
212,00000011010101,0
213,00000011010110,0
214,00000011010111,0
